pdf,page,text_chars,text_blocks,ink_ratio,strong_ink_ratio,is_blank,width_px,height_px
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,37,3089,7,0.41984111265157015,0.07086845213206869,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,38,1011,29,0.44825891448985133,0.25117551697072393,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,39,3089,7,0.41987045472884255,0.07089779420934104,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,40,1011,29,0.4481745560176933,0.25112416833549733,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,41,3089,7,0.41983377713225206,0.07086845213206869,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,42,1003,29,0.4476904117426993,0.25074272133095665,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,43,3089,7,0.4198521159305473,0.07087945541104583,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,44,1011,29,0.44801684235235434,0.2510728197002707,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,45,3089,7,0.4198521159305473,0.07088679093036392,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,46,1015,29,0.44822957241257894,0.25112416833549733,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,47,3089,7,0.41983377713225206,0.07085744885309156,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,48,967,29,0.4458455286341997,0.24934163714120142,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,49,3089,7,0.4198521159305473,0.070894126449682,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,50,999,29,0.4476317275881546,0.2505923431849358,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,51,3089,7,0.4198667869691835,0.07088679093036392,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,52,1003,29,0.44789580628360587,0.2508087410048194,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,53,3089,7,0.41988879352713776,0.07089779420934104,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,54,1003,29,0.44792148060121917,0.2509224415542498,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,55,3089,7,0.4198924612867968,0.0709014619690001,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,56,995,29,0.4473639811330443,0.2504969814338006,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,57,3089,7,0.4198521159305473,0.07086478437240964,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,58,1003,29,0.4478187833307659,0.2507830666872061,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,59,3089,7,0.4198741224885016,0.07089045869002296,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,60,1007,29,0.4480865297858762,0.25090043499629555,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,61,3089,7,0.4198521159305473,0.07086845213206869,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,62,991,29,0.4469788663688446,0.2502108961803951,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,63,3089,7,0.4198667869691835,0.07087945541104583,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,64,995,29,0.4472832904205453,0.25044563279857396,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,65,3089,7,0.41984844817088823,0.07087578765138677,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,66,995,29,0.44729429369952245,0.2504639715968692,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,67,3089,7,0.4198447804112292,0.07087211989172773,False,459,594
